comment,label
سرعت باد خیلی کمه به درد اتاقم نمیخوره من جفتش رو مرجوع کردم,1
هم به موقع رسید هم نیازم رو بر طرف کرد,2
برای یک نفر و روی میز و یا کناد تخت خواب برای شب خوب است و توصیه می‌شود,2
صداش ملایمه و کیفیت خوبی داره با خیال راحت چند ساعت میشه روشنش کرد. فقط اگه یه تایمر هم براش میذاشتن واقعا همه چیز تموم می‌شد.,2
خوب کار میکنه,2
عالیه، اکه ده بار دیگه‌ام بخوام بخرم بدون شک همین برند و همین مدل رو خواهم خرید.,2
اصلا خوب نیست برای یه اتاق کوچک گرفتم اما اصلا اونطوری ک تو نظرات خوندم نبود روبروت تنظیم کنی یه بادی می‌خوری و گرنه نه,0
کارآیی خوبی داره,2
کارآیی خوبی داره,2
کارآیی خوبی داره,2
من بر خلاف نظر بقیه دوستان، به نظرم اصلا خنک نمی‌کنه,0
زیاد خنک نکرد، نظرات دوستان رو خوندم که گفته بودن واسه رومیزی خوب، ولی اصلا خنک نکرد,0
چون اکثر نظرات مثبت بود خریدم ولی پرتاب باد قیمت بالا و کلید رضایت‌بخش نبود. نداشتن دستگیره و ثابت بدون جهت باد را هم اضافه کنید.,0
رویهم رفته بد نیست,1
پرتاب بادش عالی,2
کارتن بسته بندی واصلی آسیب‌دیده بودمتاسفانه من می‌خواستم کادوبدم مجبورشدم باسختی کارتن اصلی روترمیم کنم واقعاازنظرارسال نمره صفرمیدم به نحوه ارسال,2
فوق‌العاده کار بردی,2
برای خشک کردم خوبه,2
کیفیت بالا هوادهی خوب,2
همین الان به دستم رسید و روشنش کردم دوساعته داره کار می‌کنه خیلی عالیه حرف نداره شک نکنید رو دستش نیست و با این قیمت دیگه جای پیدا نمی‌کنید شدیدا توصیش می‌کنم.. خیلی هم عالی به دستم رسید ممنون از دیجی کالا ,2
نسبت به قیمت خوبه. سه درجه سرعت داره و کارمو راه انداخت,2
فروشنده عزیز منت گذاشتن کالای ایراد دار فرستادن وقتی روشن می‌کنی صدای قرقر شدید میده,0
از هر نظر عالی ممنون از دیجی کالا,2
فقط بیست دقیقه کار کرد,0
با این رنج قیمت انتظار زیادی نمیشه ازش داشت ولی بازم کار راه بندازه، من رو به روی تختم گذاشتمش خوب خنک میکنه میتونید سمتی که میخواید تنظیمش کنید راضیم ازش فقط گاهی وقتا که رو درجه‌ی زیاد میزاریش یه صدای بدی میده که می‌ترسم هر لحظه بسوزه,1
اندازه خوبی داره. قدرتش هم خوبه. برای شب که می‌خواهید بخوابید و کولر روشن نکنید، مناسب است,2
درکل راضیم ومشکلی ندارد واز بازارهم ارزانتر بود ممنون از دیجی کالا,2
واقعا عالی بود,2
ظاهرش زیباست. سرعت و گردش بادش دراین سایز خوبه. کم صداست.,2
کم صدا و پرقدرت,0
خیلی خوب بود ممنونتون دیجی کالا,0
هرکی گرمشه بخصوص در آشپزخانه حتما بخره,2
کارتنش باز شده بود کالا پایه هاش شکسته بود ۶۰۰ تومن ارزش مرجوعی نداشت.,2
نسبت به قبمتش خوبه,2
من که راضیم چند ماه بدون مشکل کار کرده برام,2
یه فن جموجور و نسبتا بی‌صدا برای روی میز که با داشتن سیم برق بلندی که داره به راحتی میشه هرجایی قرارش داد.. توی دور کم (که احساس می‌کنم برای اتاق و محیط کار کافی هم هست) صدای زیادی تولید نمیکنه و بالطبع با زیاد کردن دور تا حدودی پر صداتر میشه.. اگر برعکس بودن کلید رو در نظر نگیریم تنها ایرادی میشه بهش گرفت نداشتن پد لرزش گیر زیر بدنه هست چون جنس بدنه طوریه که توی همون دور کم هم لرزش خفیفی داره و اگر روی سطح چوبی قرار داشته باشه شاید این نویز خیلی خوشایند نباشه.. برای کمتر چرخ …,2
نظرخواهی درباره پنکه رومیزی دمنده,2
در کل می‌ارزه,2
بادهی خوبی داره، من شبها تا صبح روشن میزارمش و اصلا هم داغ نکرده,2
خوب بود. بادش متمرکزه ولی قدرت خوبی داره,1
به شدت توصیه میشه. اونقدر صدا نداره و حتی وقتی روی کمترین درجه س اتاق رو خنک میکنه,2
واقن عالیهه بهترینهه,2
براای من ک یه نفر هستم شباا روشنش می‌کنم و پنجره‌ی اتااقم بااز می‌کنم کل اتااقو خنک میکنه و تاا صبح رااحت میخواابم دیگه نیاازی نیسش کولرو روشن بکنم ولی تو ظهر خللی کااراایی ندااره … روی‌هم خللی عالیه..,2
قابلیت حمل خوب و خنک کنندگی فضای ۱۲ متری,2
من برای استفاده روی میز گرفتم و فاصله نهایتا دو متری ازش دارم. کاملا برای این کار مناسب هست. نسبت به اندازه‌اش پرقدرت عمل میکنه. فقط کاش پایه‌ها متصل نبودند و قابلیت جدا شدن داشتند. و ابزاری برای اتصال به دیوار (یا به صورت فروش جداگانه یا داخل جعبه) هم وجود داشت.,0
نسبت به پنکه صدای بیشتری تولید می‌کنه اما در این سایز آزار دهنده نیست. کیفیت ساخت بدنه و پایه‌ها می‌تونست بهتر باشه. نصب یک پد لاستیکی زیر پایه هزینه‌ی زیادی نداره!,2
۳ تا حالت داره که حالت یک ش باد خوبی می‌زنه و در کل برای استفاده در یک اتاق کوچک یا فاصله نهایتا ۳ متری مناسب هست. بدنه با کیفیتی هم داره,2
این رو از روی نظرات خریدم محصول پلمپ بود از دیجیکالا خریدم تاریخ شروع گارانتی از برج ۱ امسال بود که اوت هیچ مشکل این جاست حدود یک سوم پنکه معمولی قدرت باد داره نمی‌دونم چرا میگید پنکه بیشتر شبیه این پنکه همراه هاست پیشنهاد نمی‌کنم اگر برای خنک کردن محیط اطراف می‌خواهید یا مثل من توی قم هستید,0
پرتش باد بسیار خوبی داره خیلی خنک میکنه از خریدم واقعا راضی بودم نسبت ب قیمتش حرف نداره,2
پرتاب باد خیلی کم هست بخاطر همین هست که صداش کمه,1
تشکر از دیجی کالا,1
عالیه. من برای میز کارم استفاده می‌کنم و خیلی راضی‌ام. دوستان، این نوع موتورها باید با دور تند شروع به کار کنند تا عمر طولانی‌تری داشته باشند. توی این پنکه هم کلیدها برعکس نیست! درست و استاندارد از دور تند شروع می‌شه.,2
اصلا خنک نمیکنه هیچ بادی نداره,0
ارزان و بی‌صدا بودن دستگاه,2
احتمالا کیفیت همه محصولات این شرکت یکسان نیست که بعضی راضی هستن و بعضی ناراضی. برای من روی دور کند در قسمت بوش موتور صدای اضافی داره و بدنه پنکه هم لرزش داره که باعث میشه روی میز که می‌زارم صدا بیشتر بشه,1
خوبه دفعه دوم می‌خرم کیفیت خوبی داره,2
در چند روز استفاده پنکه خوبیه هست، باد خوبی داره، سیمی هست ولی چند تا ایراد داره ۱. قیمتش به نسبت ارزشش بالا هست ۲. پایه بلند نداره ۳. گردنش قابل چرخش نیست و ثابته,2
به نظرم دمندگیش خوبه و من پیشنهاد می‌کنم,2
واقعا خوب و بی صداست من راضی‌ام,2
خداوکیلی تو کارگاهتون وقتی خواستید کالا رو عرضه کنید یه نفرتون چک نکرده که عدد‌های روی درجه برعکسه؟ ,2
خوب بود پرتاب باد خوبی هم داره تو دور ۱ تقریبا قداش خیلی کمه تو دو دور بعدی صدای فن واضحا فابل شنیدن هست اون صدای تق تقی که بعضی‌ها نوشتن هم نداشت برای من فقط صدای فن هست,2
کوچیکه خیلی نباید ازش انتظار داشت من برای آشپزخونه کوچیکم گرفتم مناسبه,2
واقعا عالی بود ,2
از اون چیزی که انتظار داشتم کوچیکتره و کارایی نداره,0
اگه ان‌شاءالله مشکلی پیدا نکنه واقعا عالیه,2
در کل پنکه مناسبی هست در مدت یک هفته استفاده من که راضی بودم. صدای موتور در دورهای مختلف رو گذاشتم میتونید ببینید.,2
در کل خوب بود,2
خیلی عالی و خوب بود,2
ی سه روزهست خریدم بیشتر وقتها روشنه و عالی کار می‌کنه و بیصدا,2
خوبه بد نیس,0
خوبه رو دور کند هم باد خوبی داره آدم احساس میکنه کولره!!,2
من برای خودم ودوتا از دوستانم خریدم. همونطور که در نظرات میخونین یه ایراداتی داره ولی به نظرم مزایاش بیشتره. خیلی بیصدا و کم مصرفه,2
پنکه خیلی خوبیه و همچنین کم صدا و توی دور ۱ و ۲ خیلی صدا کم است نه باد زیاد می‌زنه که آدم اذیت بشه نه کم می‌زنه که باد زدنش به درد نخوردباشه,2
پیشنهاد می‌کنم بخرید,2
با توجه به تعریف دوستان خریدم ولی یه محصول کاملا معمولی زیاد خنک نمیکنه رو دور تند هم خیلی صدا داره,1
واسه فروشگاه خریدم که روی میز روبروی خودم می‌زارم خیلی عالیه ,2
با این قیمت، محصول هم از قدرت خوبی برخورداره، صداش هم برای محل کار رضایت بخشه، جنس بدنه و ابعاد هم مناسبه، من دو عدد ازش تهیه کردم راضی‌ام دیگه محل کارم گرمم نیست,2
تو خرید شک نکنید,2
پیشنهاد می‌کنم به ازای هر خرید تخفیف بیشتری داده شود,2
بسیار کار شیک و تمیزیه پرتاب باد بسیار عالی داره درجه هم برعکسه که مهم نیست. راحت سلکتور را در بیارین بعکسش کنین,2
خوب است.,2
خلاصه اصلا ارزش خرید ندار دوستان,0
ساده ولی پر کاربرد,2
بعد از دو ماه استفاده کیفیت خوبی داره اما صداش روی کم‌ترین سرعت هم زیاده,1
پنکه خوبیه و باد خوبی داره، برای اتاق کوچیک و متوسط جوابگو هست، برای میز کار شدت بادش از نزدیک زیاده و سه حالت کم و متوسط و تند داره، راضیم.,2
جنس خوبی داره سه سرعته خوب خنک میکنه صدا نداره اصلا,2
عالیه حتما بخرید,2
پنکه دمنده به نظر با این تخفیف خوبه. با تصویر مطابقت داره. کم صداست. سرعتش از خاموش، زیاد به کمه,1
با توجه به نظرات مردم خریدم در یک کلمه بخوام بگم عالیه ۳ درجه داره و صداش روی درجهء ۳ شاید یه مقدار بلند باشه ولی اونطور که یه عده گفتن، صداش بلند نیست صداش رو ۱ که خییلیی کمه روی ۲ باز یه مقدار بالاتره و رو درجهء ۳ محسوسه و نسبتا بالاست تو بعضی از فیلمایی که خریدارها گذاشتن مشخصه که صداش چقدره؛ نظرات و فیلمهارو حتما ببینید قبل خریدن درکل من راضی‌ام و توقعمو برآورده کرد ای کاش زودتر دیده بودمش و میخریدمش تو بسته‌بندی سالم و محکم به دستم رسید (تازه امروز به دستم …,2
کلا دستگاه خوبیه,2
برای محیط کوچیک پنکه مناسبی، در کل خوبه و کارامد,2
قدرت و پرتاب باد عالی,2
یکی از بهترین خریدام بود اصن فکر نمی‌کردم انقد قدرت داشته باشه و خنک کنه با این قیمت عالیه واقعا,2
من برای اتاق خوابم گرفتم و شب‌ها روشنش می‌کنم رو درجه پایین، که خیلی مناسب هست.,2
واقعا با کیفیت و قیمت عالی,2
بیصدا و پرباد ….,2
عالیه کاملا راضیم,2
فکر نمی‌کردم جواب بده ولی برا اتاق ۱۲ متری خوب بود,2
باد دهی خوبی روی دکمه یک دارد، باید دید در طولانی مدت چطور کار میکنه,2
سلام اگر در منطقه‌ای زندگی می‌کنید که هوای خنکی داره و یا نسبتا خوبه این پنکه پنکه‌ی مناسبی و خوبی هست با توجه به این‌که این مدل کوچیکترین و ضعیف‌ترین مدلش هست ولی اگر در منطقه‌ای زندگی می‌کنید که خیلی گرمه و گرمسیره به هیچ عنوان اون اتاق کوچیکو خنک نمیکنه مگر جلوی صورت و بدنتون قرار بدین تا کمی شدت گرما براتون قابل‌تحمل‌تر بشه، ممنون دیجی کالا.,2
دکمه‌ی تند و کند برعکسه تو هردو مدلی که خریدم روشت می‌کنی شماره یک تنده این قطعا عمر دستگاه رو کم میکنن ولی اتاق رو سر ظهر کامل خنک میکنه,2
برای محل کار خوبه,2
بعد از یک سال استفاده میگم در خریدش شک نکنید,2
برای استفاده شخصیه و بدرد اتاق‌خواب برای خنک کردن یک نفر خوبه,2
یکسال از گارانتی گذشته و به هیچ عنوان توصیه نمی‌کنم,0
برای من خوبه کارم راه میندازه,2
به نسبت قیمت دمندگی عالی و پرقدرت گارانتی داره و رومیزی هست کار راه اندازه صداشم خوبه زیاد نیس,2
از خریدم راضی هستم باد پنکه خوبه، محیط رو خنک نمیکنه باید جلوش بشینید تا خنک بشید برای روی میز کارم گرفتم و راضی هستم,2
دوتا سفارش دادم ک فقط یکی ارسال کردند,0
واقعا پیشنهاد می‌کنم,2
بسته بندی بسیار بده فروشنده ترک‌دار بودن کالا وبسیار دیر رسیدن کالا اصلا پیشنهاد نمی‌کنم ازاین فروشنده نخرید,0
بسیار عالی و بی‌صدا,2
یک روز خریدم و فعلا راضی‌ام,2
خیلی پنکه خوبی بود راضی بودم.,2
دمتون گرم، فکر نمی‌کردم به این کار امدی باشه,2
پنکه خوبی است و کارایی دارد,2
صدا ندارد.,2
نسبت به قیمت خوب است.,2
در‌حد قیمت بدک نیست,2
نسبت به اندازش و قیمتش خیلی پرتاب باد خوبی داره خیلی کم صدا میده که حساسیت نشون ندیم اوکیه,0
لطفا در قیمت کالا برای مشتری‌های خوب تخفیف بالا اعمال کنید,2
دو هفته پیش مبلغ پرداخت‌شده برای ۲ عدد پنکه یک عدد آوردن و تحویل دادن و اون یکی دو هفته هست بلاتکلیفه و هر چی پیگیری می‌کنم هیچ فایده‌ای نداره. از دی جی کالا بعید بود,2
تو خریدش شک نکنید اصلا کیفیت عالیی,2
عالی … خوب خنک می‌کنه درجه‌بندی هم داره برای یه اتاق کوچک مناسبه بسته بندی خوب و محکم داشت و گارانتی هم داره من راضی بودم ممنون از فروشنده و دیجی کالا,2
راضی از خرید خود و خریدش را توصیه می‌کنم,2
خوبه برای نزدیک خرید دومم بود راضیم گارتنتی هم داره,2
عالی احسنت به تولید کننده ایرانی، خداروشکر این سایزش برای اتاق مناسبه,2
واقعا کارا، برای تابستان عالی,2
سبک و کم صدا,2
به کلیه دوستان توصیه بدون شک خرید کنند,2
برای دفتر کار روی میز خیلی خوب و عالیه وفضای زیادی رو نمیگیره,2
خیلی خوب بود.,2
بسیار کاربردی و کم صداست، فقط در بخش طراحی خیلی ضعیف عمل کرده، اگه پایه‌هاشو در نظر نگیریم دقیقا شبیه هواکشه. میتونست شکیل‌تر طراحی بشه.,2
